 # &SUB apertr  0.3                                                              
  output from Ecalc9 version 2 
  settings: 
    particle type:            0
    pzmin/pzmax:    0.0000000000000000      /   0.0000000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    0.0000000000000000     
    sigma cut:    0.0000000000000000     
    subtract out amplitude correlation

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    48  0.2400E+00  0.0000E+00  0.2392E-03  0.8133E-04  0.6947E-11 -0.8453E+00  0.8015E-01  0.1869E-01  0.1590E+00  0.2769E+00 -0.5969E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1425E-02  0.1239E-02  0.3514E-10  0.8278E+00  0.2730E-07  0.1110E-02  0.5851E-04  0.5201E-04  0.5566E-03 -0.1469E-01  0.2749E-01  0.3162E-03
    50  0.2500E+00  0.0000E+00  0.2359E-03  0.8706E-04  0.7203E-11 -0.6917E+00  0.7921E-01  0.1593E-01  0.9382E-01  0.2798E+00 -0.6144E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1150E-02  0.1262E-02  0.3691E-10  0.8316E+00  0.2868E-07  0.1136E-02  0.3139E-04  0.4619E-04 -0.6013E-02 -0.1283E-01  0.3448E-02  0.8064E-04
    52  0.2600E+00  0.0000E+00  0.2338E-03  0.9242E-04  0.7531E-11 -0.6736E+00  0.7825E-01  0.1559E-01 -0.7029E-01  0.2847E+00 -0.6444E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1110E-02  0.1285E-02  0.3872E-10  0.8422E+00  0.2984E-07  0.1160E-02  0.1295E-04  0.7326E-04 -0.6764E-02 -0.6199E-02  0.4113E-01  0.3457E-03
    54  0.2700E+00  0.0000E+00  0.2314E-03  0.9701E-04  0.7787E-11 -0.8157E+00  0.7727E-01  0.1801E-01 -0.1510E+00  0.2908E+00 -0.6785E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1332E-02  0.1300E-02  0.4060E-10  0.8460E+00  0.3130E-07  0.1177E-02  0.3409E-04  0.1078E-03 -0.3130E-02 -0.2812E-02  0.8482E-01  0.7512E-03
    56  0.2800E+00  0.0000E+00  0.2297E-03  0.1028E-03  0.8100E-11 -0.9406E+00  0.7626E-01  0.2009E-01 -0.4357E-01  0.2948E+00 -0.6998E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1525E-02  0.1316E-02  0.4255E-10  0.8372E+00  0.3242E-07  0.1198E-02  0.7698E-04  0.9883E-04  0.6108E-03 -0.5148E-02  0.8398E-01  0.8255E-03
    58  0.2900E+00  0.0000E+00  0.2271E-03  0.1084E-03  0.8352E-11 -0.8826E+00  0.7526E-01  0.1916E-01  0.1244E+00  0.2983E+00 -0.7287E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1413E-02  0.1333E-02  0.4457E-10  0.8305E+00  0.3409E-07  0.1220E-02  0.8120E-04  0.4870E-04 -0.1777E-02 -0.8248E-02  0.4844E-01  0.5041E-03
    60  0.3000E+00  0.0000E+00  0.2252E-03  0.1145E-03  0.8679E-11 -0.6914E+00  0.7422E-01  0.1604E-01  0.1435E+00  0.3016E+00 -0.7531E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1097E-02  0.1353E-02  0.4665E-10  0.8354E+00  0.3546E-07  0.1242E-02  0.3807E-04  0.2948E-04 -0.5200E-02 -0.5886E-02  0.2001E-01  0.2001E-03
    62  0.3100E+00  0.0000E+00  0.2224E-03  0.1211E-03  0.8964E-11 -0.6046E+00  0.7315E-01  0.1462E-01 -0.1526E-01  0.3040E+00 -0.7816E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.9475E-03  0.1379E-02  0.4881E-10  0.8461E+00  0.3676E-07  0.1268E-02  0.1168E-04  0.6668E-04 -0.4581E-02 -0.2240E-02  0.2651E-01  0.2268E-03
    64  0.3200E+00  0.0000E+00  0.2196E-03  0.1281E-03  0.9242E-11 -0.7168E+00  0.7205E-01  0.1638E-01 -0.1395E+00  0.3056E+00 -0.8099E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1110E-02  0.1404E-02  0.5106E-10  0.8546E+00  0.3844E-07  0.1295E-02  0.4128E-04  0.1000E-03 -0.1241E-02 -0.1538E-02  0.5340E-01  0.4653E-03
    66  0.3300E+00  0.0000E+00  0.2165E-03  0.1353E-03  0.9490E-11 -0.8603E+00  0.7093E-01  0.1868E-01 -0.6880E-01  0.3084E+00 -0.8426E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1314E-02  0.1430E-02  0.5338E-10  0.8718E+00  0.3986E-07  0.1322E-02  0.7663E-04  0.8111E-04  0.2062E-02 -0.2481E-02  0.6306E-01  0.5753E-03
